Product	Kilogram	Norwood-Lusk Elasticity	Brain mass, linear	Neuron count, linear	Gram of Protein	Calorie	Neuron count, log	Brain mass, log	Equal
Battery Cage Eggs	63	0.91	4	221	484.6153846	40.64516129	2.344392274	0.6020599913	1
Chicken	46	0.76	4	221	170.0972	19.56114986	2.344392274	0.6020599913	1
Conventional Pork	3.7	0.74	180	2230	13.7037037	1.52892562	3.348304863	2.255272505	1
Beef	1.2	0.68	442	3000	4.535925333	0.4437311876	3.477121255	2.645422269	1
Milk	0.07	0.56	442	3000	2.121212121	0.1388888889	3.477121255	2.645422269	1
